Material,C,H,O,N,F,S,System_Size,a,b,c,alpha,beta,gamma,density,PLD,LCD,N2_SA,Probe_Accessible,Probe_Occupiable,Rosenbluth_Weight,SMILES
1,2900,0,400,200,0,0,3500,43.8569,43.8569,43.8569,90,90,90,0.866787,3.86428,8.63063,901.86,0.124,0.29534,0.430821,CC1=C(C)C(C#N)=C(OC(C=C(C2(CC(C)(C)C3=C2C=C(OC)C(OC)=C3)CC4(C)C)C4=C5)=C5O6)C6=C1C#N
2,2900,0,400,200,0,0,3500,43.3482,43.3482,43.3482,90,90,90,0.897663,4.0249,7.74149,270.599,0.10962,0.2729,0.402154,CC1=C(C)C(C#N)=C(OC(C=C(C2(CC(C)(C)C3=C2C=C(OC)C(OC)=C3)CC4(C)C)C4=C5)=C5O6)C6=C1C#N
3,2900,0,400,200,0,0,3500,43.3097,43.3097,43.3097,90,90,90,0.900059,3.55554,7.3786,0,0.09612,0.24616,0.392034,CC1=C(C)C(C#N)=C(OC(C=C(C2(CC(C)(C)C3=C2C=C(OC)C(OC)=C3)CC4(C)C)C4=C5)=C5O6)C6=C1C#N
4,2900,0,400,200,0,0,3500,43.3654,43.3654,43.3654,90,90,90,0.896595,3.6534,9.1275,0,0.1108,0.26592,0.399608,CC1=C(C)C(C#N)=C(OC(C=C(C2(CC(C)(C)C3=C2C=C(OC)C(OC)=C3)CC4(C)C)C4=C5)=C5O6)C6=C1C#N
5,2900,0,400,200,0,0,3500,43.5965,43.5965,43.5965,90,90,90,0.882412,3.94698,8.51578,837.665,0.11012,0.20724,0.408698,CC1=C(C)C(C#N)=C(OC(C=C(C2(CC(C)(C)C3=C2C=C(OC)C(OC)=C3)CC4(C)C)C4=C5)=C5O6)C6=C1C#N
6,2900,200,800,0,0,0,3900,43.41212,43.41212,43.41212,90,90,90,0.970825,3.97908,7.50416,297.155,0.09026,0.22894,0.367604,OC(C1=C2C(OC(C=C(C3(CC(C)(C)C4=C3C=CC=C4)CC5(C)C)C5=C6)=C6O2)=C(C(O)=O)C(C)=C1C)=O
7,2900,200,800,0,0,0,3900,43.15783,43.15783,43.15783,90,90,90,0.988087,3.04247,7.33063,0,0.07396,0.21426,0.3524,OC(C1=C2C(OC(C=C(C3(CC(C)(C)C4=C3C=CC=C4)CC5(C)C)C5=C6)=C6O2)=C(C(O)=O)C(C)=C1C)=O
8,2900,200,800,0,0,0,3900,43.47607,43.47607,43.47607,90,90,90,0.966547,3.47295,7.42213,0,0.08536,0.23102,0.378214,OC(C1=C2C(OC(C=C(C3(CC(C)(C)C4=C3C=CC=C4)CC5(C)C)C5=C6)=C6O2)=C(C(O)=O)C(C)=C1C)=O
9,2900,200,800,0,0,0,3900,43.14379,43.14379,43.14379,90,90,90,0.989052,3.91016,7.12304,222.535,0.07408,0.21234,0.351514,OC(C1=C2C(OC(C=C(C3(CC(C)(C)C4=C3C=CC=C4)CC5(C)C)C5=C6)=C6O2)=C(C(O)=O)C(C)=C1C)=O
10,2900,200,800,0,0,0,3900,43.43317,43.43317,43.43317,90,90,90,0.969414,3.36087,8.30336,0,0.08254,0.22082,0.368464,OC(C1=C2C(OC(C=C(C3(CC(C)(C)C4=C3C=CC=C4)CC5(C)C)C5=C6)=C6O2)=C(C(O)=O)C(C)=C1C)=O
