C,H,O,N,F,S,System_Size,a,b,c,density,PLD,LCD,N2_SA,Probe_Accessible,Probe_Occupiable,Rosenbluth_Weight,Sample_Index
0.034987393,0.005845353,0.010973436,0.062089302,0.147574745,-0.05202394,0.120192854,-0.012883832,-0.059328783,-0.05009562,-0.092330058,-0.016105938,0.063644988,0.141249237,0.347193597,0.085537223,0.008307026,0
0.034351606,0.005845353,0.009686734,0.063187513,0.156133292,-0.03123978,0.117823469,0.011503282,0.021057168,-0.010712332,-0.13837564,-0.003149801,0.039376732,-0.190645277,0.314666966,-0.027141628,0.086208302,1
0.028811988,0.006452885,0.009710563,0.068943403,0.128610689,-0.03123978,0.134636805,0.014618692,0.028220957,-0.003207142,-0.064610623,-0.01050958,0.072498565,-0.19009832,-0.066272148,-0.017294554,0.126017325,2
0.03982613,0.005845353,-9.68E-05,0.060573757,0.135976064,-0.051147658,0.122580606,0.026268451,-0.038436531,-0.010660241,-0.114568388,-0.044594543,0.025241607,-0.195574837,0.299626743,-0.027151823,0.08327863,3
0.044567691,0.00470808,0.008204921,0.061748885,0.124468679,-0.063224342,0.12724984,0.010692185,-0.044762474,-0.014877559,-0.132534831,-0.010636537,0.063349165,0.107180901,0.314204816,0.06257039,0.101086176,4
-0.003099434,-0.083922286,-0.047222468,-0.023641548,0.096252337,-0.03123978,-0.012888436,-0.014693345,-0.004954662,-0.020743044,-0.717804143,-0.04498529,-0.059551617,-0.230385219,-0.047096451,-0.055855297,0.109615751,5
-0.010179505,-0.044523015,-0.029602969,-0.028717458,0.065671395,-0.020326655,-0.005307805,-0.024332057,-0.099844639,-0.022058937,-0.782777042,-0.058444565,-0.092498627,-0.123158961,-0.731141803,-0.071915722,0.092126064,6
-0.003953458,-0.09394625,-0.050608721,-0.030104212,0.067438565,-0.03123978,-0.021095375,-0.019679436,-0.005045432,-0.022946218,-0.744373309,-0.127148388,-0.082538104,-0.224781664,-0.234569561,-0.064279579,-0.010758848,7
-0.010667519,-0.063146075,-0.031973007,-0.015899161,0.065671395,-0.022062388,-0.023877195,-0.028844145,-0.101699965,-0.027989717,-0.810739245,-0.045746441,-0.186817521,-0.152115907,-0.735780821,-0.082721348,0.068880445,8
0.002607334,-0.056896875,-0.037551063,-0.026195083,0.067438565,-0.03123978,-0.020301308,-0.014507098,-0.006858449,-0.022113049,-0.724831174,-0.021231663,-0.029380145,-0.219599677,-0.226276796,-0.022705176,0.112448198,9
0.013722582,0.004983524,0.057278515,-0.033621609,0.139622688,-0.052717547,0.014950443,-0.092536094,-0.128225341,-0.067710942,1.227864018,-0.069590973,0.022823574,0.12020174,0.345779728,-0.052743033,0.043631702,10
0.013705259,0.004983524,0.057278515,-0.023829361,0.149418453,0.037089957,0.030049032,-0.086552298,-0.124310943,-0.06909665,1.179750726,0.154605742,-0.019277771,0.380379236,0.320498661,0.175475885,0.000497842,11
0.013705259,0.004983524,0.057278515,-0.024822581,0.151525071,0.037089957,0.030049032,-0.086076677,-0.124146204,-0.071824558,1.178487018,0.134956131,-0.057529746,0.263282421,0.307516918,0.132638914,-0.012698731,12
0.017821023,0.004983524,0.057278515,-0.029771242,0.141551713,0.042742556,0.024732224,-0.066561407,-0.12134313,-0.070375133,1.327624837,-0.041001393,0.028040771,0.357728731,0.299272825,0.180378579,-0.001132012,13
0.007754455,0.004983524,0.057278515,-0.027515463,0.13241151,-0.036154864,0.030049032,-0.088811532,-0.110899209,-0.07847973,1.187781307,-0.035176989,-0.04463981,0.1170605,0.36567684,0.092860772,-0.044049604,14
0.007424644,0.005845353,-0.011389599,-0.072771475,-1.175102239,-0.047332422,-0.117355168,-0.058088424,-0.135942598,-0.058761599,-0.267704506,0.065169597,0.001909029,0.119554182,0.242635768,0.001209486,-0.153467498,15
-5.21E-05,0.005845353,-0.01852529,-0.064792809,-1.125737431,-0.040190032,-0.119383889,-0.033839993,-0.134574397,-0.020066995,-0.687031002,0.071002892,-0.001272938,-0.193847161,0.210078245,0.055927814,0.037258833,16
-0.001879617,0.005095215,-0.013404605,-0.067810972,-1.203895123,-0.046456139,-0.122777048,-0.050774532,-0.147622977,-0.019103354,-0.23844091,-0.050869237,-0.03527349,-0.199746294,0.212838829,-0.076134388,-0.168318709,17
0.012833597,0.005095215,-0.012340677,-0.072502197,-1.230270086,0.019768046,-0.115897005,-0.065255295,-0.143237448,-0.06015474,-0.291288458,0.101201653,-0.022165162,0.225729931,0.068978065,-0.009894976,-0.2516752,18
-0.004336477,0.006452885,-0.017550383,-0.042649167,-1.043041673,-0.051390433,-0.147505771,-0.047623646,-0.167916371,-0.028991091,-0.614470425,-0.029568336,-0.083205718,-0.21489352,-0.027920007,-0.062964804,0.015831037,19
0.027891288,0.005845353,0.010973436,-0.058132826,0.170137371,-0.04975156,-0.008344735,-0.038238251,-0.062616807,-0.066242472,0.668424679,-0.042212831,0.048784224,0.139324369,0.355816911,0.146143131,0.035403103,20
0.009414501,0.004872195,-0.000414985,-0.057866079,0.140852883,-0.050655903,-0.064840269,-0.044396625,-0.117779945,-0.038142323,-0.073741601,-0.093591711,-0.082157496,-0.219470006,0.184671369,-0.06924873,0.025616758,21
