C,H,O,N,F,S,System_Size,a,b,c,density,PLD,LCD,N2_SA,Probe_Accessible,Probe_Occupiable,Rosenbluth_Weight,Sample_Index
0.016098151,0.006908819,-0.01114448,-0.002062679,0.213603526,-0.069877957,0.007663307,-0.040167678,-0.069871207,-0.078399024,0.342604739,0.012017388,0.003679132,0.247392534,0.173478775,0.018462251,-0.020000662,0
0.03492012,0.019307845,-0.010316345,0.024581034,0.208595222,-0.038657199,0.034439009,-0.003362775,-0.011415654,-0.014540432,0.091861433,0.041387263,-0.022251724,-0.168359072,0.194257983,0.028694129,0.059349596,1
0.024999776,0.021968821,-0.004317407,0.025524187,0.192269386,-0.022905477,0.0339555,0.000900241,-0.016144485,-0.019699861,0.139659086,-0.012501095,0.002093754,-0.23318176,0.035089203,0.012081369,0.079372793,2
0.03120478,0.018184554,-0.008608824,0.030850644,0.197510351,-0.025897901,0.030129723,-0.006591481,-0.013559684,-0.01950071,0.02504071,-0.011738984,0.024779143,-0.257796739,0.189627499,0.022173886,0.060504365,3
0.048332389,0.013886309,-0.010425502,0.00826149,0.220767417,-0.055362473,0.053565482,-0.024281632,-0.024416939,-0.024181079,0.128157966,0.025934332,0.006187427,0.219643308,0.135291151,0.005960848,0.014959239,4
-0.014757527,-0.124524117,0.016038699,0.004159107,0.108078439,-0.037257707,-0.003342446,-0.023340334,-0.035183005,-0.017872895,-0.732406571,0.001367832,-0.04699271,-0.25437151,-0.091610019,-0.023044766,0.044723565,5
-0.007771667,-0.036008144,0.003225537,-0.00254543,0.080406525,-0.03517371,-0.007924056,-0.036673018,-0.031518766,-0.025278013,-0.926794298,-0.020485603,-0.147065377,-0.336464994,-0.418952699,-0.023927064,-0.031198789,6
-0.03160536,-0.141313847,-0.000169709,-0.013776824,0.096269692,-0.034857741,-0.009902783,-0.045071142,-0.040263038,-0.032402902,-0.824005533,-0.020287821,-0.080264183,-0.327300881,-0.161710665,-0.035981862,0.001617532,7
-0.009469806,-0.034774404,0.002735443,-0.00227653,0.080798044,-0.037372567,-0.010234891,-0.048681999,-0.040733857,-0.022509833,-0.982432098,-0.0107623,-0.183786269,-0.335710566,-0.482012695,-0.030061505,-0.021687333,8
-0.01875207,-0.098710319,-0.001137904,-0.003955464,0.099548517,-0.030304571,-0.003921302,-0.026164737,-0.022149858,-0.020345654,-0.678907712,-0.020367805,0.005067458,-0.28743887,-0.168408427,-0.021823782,0.047087833,9
0.024335257,0.004773588,0.012549015,-0.03303259,0.211340456,-0.04624981,-0.004937979,-0.072058763,-0.050345992,-0.083063596,1.0302597,0.006491459,0.036693328,0.267487989,0.160360947,0.017199554,0.003209169,10
0.010178087,0.0046444,-0.013946508,-0.040170427,0.202851655,-0.023303125,-0.001506535,-0.056011987,-0.065201173,-0.080960272,1.368075211,0.027800206,0.066143279,0.455941028,0.253236589,0.048630019,0.016896085,11
