C,H,O,N,F,S,System_Size,a,b,c,density,PLD,LCD,N2_SA,Probe_Accessible,Probe_Occupiable,Rosenbluth_Weight,Sample_Index
0.074435381,0.003031908,-0.006967829,0.084305496,0.111260574,-0.007847245,0.099202298,-0.091763149,-0.080333707,-0.065534766,0.340795091,0.084166514,0.091796772,0.06772727,0.175487231,-0.029709067,-0.077063772,0
0.076965117,0.0033378,-0.006307431,0.074402257,0.108409359,-0.007847245,0.116103449,-0.075994333,-0.057039119,-0.007227562,-0.197708252,0.110949742,0.082981551,-0.042536687,0.231520398,-0.026282376,0.105000835,1
0.077091028,0.0033378,-0.006967829,0.075810708,0.101747137,-0.018225165,0.106636854,-0.07693819,-0.054814634,0.001871949,-0.187670194,-0.092436514,0.005747188,-0.057832408,0.135772784,0.072067358,0.135196878,2
0.076369241,0.003031908,-0.006967829,0.074402257,0.105981285,-0.018225165,0.116103449,-0.08715392,-0.049891835,0.000804738,-0.197103325,-0.082835934,0.048524273,-0.031635122,0.216529572,-0.065655164,0.148750931,3
0.076191882,0.002894816,-0.006307431,0.089279587,0.112345234,-0.011573649,0.115534928,-0.093736878,-0.079830802,-0.037682697,-0.125570947,0.093047734,0.093988331,0.079034844,0.249963015,0.112987277,0.10655959,4
0.065925357,-0.052225008,-0.006858484,-0.095901311,0.093607719,-0.011573649,-0.014218139,-0.058949611,-0.062711736,-0.028916691,-1.081869519,0.068930576,-0.065357413,-0.05476077,-0.080764546,0.024041349,0.210920149,5
0.061726621,-0.046651267,0.016533178,-0.097779245,0.083666724,-0.016995565,-0.011473327,-0.074929938,-0.065586403,-0.025368694,-1.386359977,0.024151565,-0.11873894,-0.052875318,-0.529305641,0.054350133,0.226860809,6
0.065329481,-0.053489152,-0.005423968,-0.089832884,0.083809728,-0.018225165,-0.014034179,-0.059511093,-0.06444951,-0.029031851,-1.06596043,-0.174710439,-0.100300992,-0.058613382,-0.232223516,0.014492478,0.132547984,7
0.070205634,-0.046651267,0.019724132,-0.085520333,0.084536469,-0.007253816,-0.012495942,-0.076980031,-0.063420265,-0.025207775,-1.482583443,0.126600872,-0.389755362,-0.054265378,-0.565104254,0.080568738,0.199288659,8
0.065329481,-0.046466204,-0.007762938,-0.096593836,0.085999444,-0.018225165,-0.012285349,-0.070835308,-0.070103622,-0.034173948,-0.99944636,-0.167374306,0.098604203,-0.046940649,-0.211724282,0.02446198,0.228052111,9
-0.031820629,0.002867959,0.017051596,-0.099091985,0.085892986,-0.014498761,0.017887774,-0.130828956,-0.104927821,-0.100175247,1.793284511,-0.103096769,0.006350511,0.055323753,0.079206913,0.013063325,-0.008351363,10
-0.018116724,0.00273515,0.015513699,-0.08907647,0.090022001,-0.007847245,0.021374766,-0.129785848,-0.096663184,-0.075918199,2.144889112,0.155391086,-0.039915204,0.131307634,0.14523695,0.156054919,-0.225475103,11
-0.018612359,0.00273515,0.015513699,-0.091745453,0.090022001,-0.006820956,0.021374766,-0.128665653,-0.109616982,-0.075918199,2.026282666,0.112748192,0.005484434,0.04962493,0.135734132,0.154014301,-0.231286833,12
-0.025237216,0.00273515,0.018749964,-0.089623378,0.090612228,-0.007847245,0.018017848,-0.136060542,-0.101404783,-0.077556038,2.131051262,0.095520423,0.04214051,0.114536451,0.180424174,0.146008431,-0.230829807,13
-0.021591874,0.002867959,0.013154933,-0.089767739,0.089987171,-0.007847245,0.010087584,-0.137129415,-0.127147218,-0.0811726,2.105444836,0.086142623,-0.095265461,0.006778169,0.13125885,-0.058856553,-0.26129271,14
-0.105747393,0.003204991,-0.011987018,-0.101879129,-1.175944492,-0.007847245,0.02314678,-0.096302023,-0.075957983,-0.014660114,-0.212114587,0.059017559,0.114522253,0.032964088,0.172433256,-0.032067145,-0.218320971,15
-0.118094201,0.003031908,-0.011987018,-0.090597018,-1.205271468,-0.007847245,0.030675039,-0.087412895,-0.078632427,-0.010958323,-0.531907848,0.058313777,0.031592857,-0.013578099,0.056408293,-0.018543463,-0.057157793,16
-0.123420647,0.003031908,-0.012647416,-0.090597018,-1.149413275,-0.014498761,0.02633219,-0.092289636,-0.08532663,-0.01316119,-0.31316419,-0.068305782,-0.043548993,-0.038868669,0.040522251,-0.024648522,-0.196976054,17
-0.105747393,0.002899099,-0.011987018,-0.101734768,-1.245051043,-0.007847245,0.02116166,-0.078009882,-0.083644885,-0.065835445,0.18221796,0.062192792,-0.044588981,0.092221445,0.053708892,0.020787787,-0.502071263,18
-0.113471582,0.0033378,-0.012647416,-0.086132002,-0.901302388,-0.014404252,0.014387825,-0.077762243,-0.067971676,-0.02097334,-0.99969461,-0.084963308,-0.315522596,-0.00155852,0.082798763,-0.048089398,0.095450424,19
-0.055210889,0.003031908,-0.012647416,-0.101879129,0.097451146,-0.011437116,0.017697146,-0.103699682,-0.05856044,-0.025603156,1.138506434,0.052788757,0.080909567,0.079869584,0.215336461,0.01527092,-0.082727883,20
-0.116036949,0.003031908,-0.011717488,-0.110292778,0.107531242,-0.018225165,0.026799229,-0.071601456,-0.03859826,0.015772125,-0.169496794,-0.170743584,-0.047980491,-0.044059565,0.130627405,-0.1300874,0.129553478,21
-0.057381933,0.002899099,-0.011460442,-0.103551098,0.090078325,-0.006820956,0.001715556,-0.164939049,-0.129874264,-0.05803348,1.615985864,0.144759997,0.040257071,0.014832232,0.100131925,-0.069027999,-0.271139845,22
-0.057381933,0.002899099,-0.011460442,-0.10300419,0.095964949,-0.006820956,0.001330857,-0.108803928,-0.13005453,-0.050571792,1.249977355,0.048042993,0.188463931,0.017809054,0.135528244,-0.057581436,-0.274661332,23
-0.101761463,0.003031908,-0.011460442,-0.101879129,0.109923601,-0.007847245,0.021054064,-0.088425619,-0.055771443,-0.026039747,0.741384333,0.063658458,-0.07193847,0.06202005,0.18208317,-0.023051858,-0.069283564,24
-0.085017819,0.002845844,-0.017084768,0.077167377,0.084130732,-0.017726246,0.023568822,-0.070542038,-0.067621092,-0.080520545,-1.726120396,-0.132617502,-0.048779564,-0.053338443,-0.5825213,0.059960249,0.235509066,25
-0.084244584,0.002880871,-0.012748076,0.076699764,0.096858413,-0.018225165,0.03001602,-0.072142461,-0.049017342,-0.073037502,-1.291590921,-0.194564023,-0.012674849,-0.054820541,-0.003765827,-0.097568406,0.095032643,26
-0.073759248,0.003186764,-0.011661072,0.070049845,0.088218392,-0.007752735,0.020420821,-0.073692562,-0.055146354,-0.087529222,-1.512211129,0.108379108,-0.487196725,-0.075913049,-0.092622796,0.026419887,0.100086714,27
-0.07635329,0.002963099,-0.017106796,0.069035633,0.078923171,-0.013905333,0.005082278,-0.096365184,-0.070709541,-0.101993,-1.807700944,-0.129554866,-0.159850375,-0.052968058,-0.60583316,0.054791324,0.20937589,28
-0.082423777,0.003186764,-0.01232147,0.074279132,0.083080395,-0.018225165,0.023568822,-0.073849974,-0.055079465,-0.082105606,-1.482340645,-0.116457332,-0.034365831,-0.066904104,-0.24015851,0.014577956,0.168277359,29
