C,H,O,N,F,S,System_Size,a,b,c,density,PLD,LCD,N2_SA,Probe_Accessible,Probe_Occupiable,Rosenbluth_Weight,Sample_Index
0.286453432,0.029020197,-0.101190296,0.151559362,0.104571367,-0.385122831,0,-0.084887386,-1.71E-17,-6.09E-18,0.968608634,0,-0.022140423,0.074073961,0.187052758,0,-0.491566333,0
0.286453432,0.029020197,-0.101190296,0.151559362,0.104571367,-0.385122831,0,-0.102986763,-2.07E-17,-7.39E-18,0.248928009,0,-0.047449348,-0.051788375,-0.001595243,0,-0.031880849,1
0.286453432,0.029020197,-0.101190296,0.151559362,0.104571367,-0.385122831,0,-0.104356581,-2.10E-17,-7.49E-18,0.19308027,0,-0.05777883,-0.105741055,-0.178698721,0,0.130396931,2
0.286453432,0.029020197,-0.101190296,0.151559362,0.104571367,-0.385122831,0,-0.102374793,-2.06E-17,-7.34E-18,0.273821742,0,-0.007997268,-0.105741055,0.013884913,0,0.008945162,3
0.286453432,0.029020197,-0.101190296,0.151559362,0.104571367,-0.385122831,0,-0.094152332,-1.90E-17,-6.76E-18,0.604409587,0,-0.025409571,0.061274607,0.004964145,0,-0.136816203,4
0.286453432,-0.406282761,0.710496572,-0.349187428,0.104571367,-0.385122831,0,-0.100712511,-2.03E-17,-7.23E-18,-1.456385952,0,-0.054204827,-0.046493576,-0.255574749,0,0.522140622,5
0.286453432,-0.406282761,0.710496572,-0.349187428,0.104571367,-0.385122831,0,-0.109760065,-2.21E-17,-7.87E-18,-1.858741405,0,-0.059144272,-0.105741055,-0.469410801,0,0.765942139,6
0.286453432,-0.406282761,0.710496572,-0.349187428,0.104571367,-0.385122831,0,-0.098437191,-1.98E-17,-7.06E-18,-1.356671167,0,-0.05653977,-0.105741055,-0.319856753,0,0.352005519,7
0.286453432,-0.406282761,0.710496572,-0.349187428,0.104571367,-0.385122831,0,-0.110259603,-2.22E-17,-7.91E-18,-1.881234338,0,-0.065053217,-0.061371491,-0.467836548,0,0.780149463,8
0.286453432,-0.406282761,0.710496572,-0.349187428,0.104571367,-0.385122831,0,-0.099963559,-2.01E-17,-7.17E-18,-1.423497322,0,-0.031456,-0.105741055,-0.356851701,0,0.508350217,9
0.674601714,0.029020197,-0.507033731,-0.349187428,0.104571367,-0.385122831,0,-0.268187432,-5.40E-17,-1.92E-17,2.199473213,0,0.003808098,0.072291482,0.076330287,0,-0.215180977,10
0.674601714,0.029020197,-0.507033731,-0.349187428,0.104571367,-0.385122831,0,-0.249544398,-5.02E-17,-1.79E-17,2.949618359,0,0.034997788,0.135324236,0.405611569,0,-0.791363306,11
0.674601714,0.029020197,-0.507033731,-0.349187428,0.104571367,-0.385122831,0,-0.249661099,-5.03E-17,-1.79E-17,2.945049847,0,0.043459714,0.112835894,0.399314556,0,-0.860587928,12
0.674601714,0.029020197,-0.507033731,-0.349187428,0.104571367,-0.385122831,0,-0.241711178,-4.87E-17,-1.73E-17,3.253028215,0,0.01159627,0.132658493,0.574056654,0,-0.950498156,13
0.674601714,0.029020197,-0.507033731,-0.349187428,0.104571367,-0.385122831,0,-0.249991634,-5.03E-17,-1.79E-17,2.932090188,0,0.036950453,0.075233768,0.357334472,0,-0.656538052,14
0.383490502,0.029020197,-0.101190296,-0.349187428,-1.463999131,-0.385122831,0,-0.107946213,-2.17E-17,-7.74E-18,0.719414905,0,-0.043147508,0.098055677,0.319290021,0,-0.85160813,15
0.383490502,0.029020197,-0.101190296,-0.349187428,-1.463999131,-0.385122831,0,-0.123631866,-2.49E-17,-8.87E-18,0.080382517,0,-0.012763648,0.048349444,0.101518337,0,-0.430182999,16
0.383490502,0.029020197,-0.101190296,-0.349187428,-1.463999131,-0.385122831,0,-0.116239834,-2.34E-17,-8.34E-18,0.384794648,0,0.009865059,-0.105741055,0.08026592,0,-0.572865577,17
0.383490502,0.029020197,-0.101190296,-0.349187428,-1.463999131,-0.385122831,0,-0.100789719,-2.03E-17,-7.23E-18,1.002406305,0,-0.002739875,0.125684096,0.487997483,0,-1.032984016,18
0.383490502,0.029020197,-0.101190296,-0.349187428,-1.463999131,-0.385122831,0,-0.136732655,-2.75E-17,-9.81E-18,-0.473922604,0,-0.07874578,0.048206885,-0.091590048,0,-0.088293223,19
0.383490502,0.029020197,-0.101190296,-0.349187428,0.104571367,-0.385122831,0,-0.14321705,-2.88E-17,-1.03E-17,1.199015518,0,-0.029516714,0.074475118,0.229819968,0,-0.46762555,20
0.383490502,0.029020197,-0.101190296,-0.349187428,0.104571367,-0.385122831,0,-0.156125354,-3.14E-17,-1.12E-17,0.675104992,0,0.027949409,-0.105741055,-0.07794652,0,0.01202395,21
0.383490502,0.029020197,-0.101190296,-0.349187428,0.104571367,-0.385122831,0,-0.123501288,-2.49E-17,-8.86E-18,1.965290312,0,0.048443563,0.094404985,0.535749828,0,-0.902183636,22
0.383490502,0.029020197,-0.101190296,-0.349187428,0.104571367,-0.385122831,0,-0.136029957,-2.74E-17,-9.76E-18,1.482985885,0,0.074677584,0.099690612,0.398527429,0,-0.628812926,23
0.383490502,0.029020197,-0.101190296,-0.349187428,0.104571367,-0.385122831,0,-0.146390401,-2.95E-17,-1.05E-17,1.071889656,0,0.028860558,0.063247098,0.191513142,0,-0.397855726,24
0.480527573,0.029020197,-0.101190296,0.151559362,0.104571367,-0.385122831,0,-0.220734117,-4.44E-17,-1.58E-17,-2.482786273,0,-0.047300478,-0.105741055,-0.483316703,0,0.709160952,25
0.480527573,0.029020197,-0.101190296,0.151559362,0.104571367,-0.385122831,0,-0.205415647,-4.14E-17,-1.47E-17,-1.735881041,0,0.021428762,-0.105741055,-0.200738265,0,0.140916123,26
0.480527573,0.029020197,-0.101190296,0.151559362,0.104571367,-0.385122831,0,-0.208348479,-4.20E-17,-1.49E-17,-1.876432738,0,-0.071601475,-0.031425052,-0.282861804,0,0.128184052,27
0.480527573,0.029020197,-0.101190296,0.151559362,0.104571367,-0.385122831,0,-0.220381879,-4.44E-17,-1.58E-17,-2.465304719,0,-0.111902366,-0.105741055,-0.467311797,0,0.603936961,28
0.480527573,0.029020197,-0.101190296,0.151559362,0.104571367,-0.385122831,0,-0.211278109,-4.25E-17,-1.52E-17,-2.017986709,0,-0.04961265,-0.02579868,-0.335861659,0,0.358900721,29
0.480527573,0.029020197,-0.101190296,0.151559362,0.104571367,-0.385122831,0,-0.132388734,-2.67E-17,-9.50E-18,1.423851615,0,0.00931114,0.122278645,0.548343853,0,-1.011143864,30
0.480527573,0.029020197,-0.101190296,0.151559362,0.104571367,-0.385122831,0,-0.183141707,-3.69E-17,-1.31E-17,-0.704842281,0,-0.040739981,-0.105741055,-0.380203123,0,0.369339736,31
0.480527573,0.029020197,-0.101190296,0.151559362,0.104571367,-0.385122831,0,-0.1595869,-3.21E-17,-1.14E-17,0.319297092,0,0.053541555,-0.105741055,0.130379645,0,-0.229324159,32
