C,H,O,N,F,S,System_Size,a,b,c,density,PLD,LCD,N2_SA,Probe_Accessible,Probe_Occupiable,Rosenbluth_Weight,Sample_Index
0.012892185,0.000656066,-0.011304925,0.006868543,0.133603467,-0.000191312,0.030582431,-0.028340587,-0.01922004,-0.043471364,0.256772376,0.046863429,0.040733855,0.048250652,0.277115189,0.000402555,-0.01570551,0
0.033627651,0.00022023,-0.010696104,0.011750213,0.131152584,-0.001952164,0.038648218,0.007816856,0.018580018,0.00863122,-0.182599533,0.046823246,0.014072927,-0.016791915,0.278044082,0.009225009,0.019701609,1
0.030931355,0.000902682,-0.010101228,0.009174558,0.125985725,-0.002076071,0.035603934,-0.015970761,0.011914992,0.004826529,-0.240187089,-0.00868391,0.017203969,-0.029728075,0.232472095,-0.009178773,0.010753088,2
0.031247542,0.000959629,-0.011113735,0.009601027,0.127994329,-0.002431397,0.036053103,0.019195973,0.015568923,0.004053578,-0.266207786,-0.009898046,0.028517199,-0.026236732,0.258110495,0.011968201,0.019190574,3
0.037102421,0.000962079,-0.013955363,0.012822459,0.132783946,-0.000951015,0.046547692,0.011554714,0.01699165,0.012641247,-0.21093249,0.054607345,0.043891076,0.0357182,0.282636137,0.018043121,0.018312153,4
0.010608083,-0.007679862,0.00849717,-0.012751493,0.06793732,-0.008214466,0.006234006,-0.028494158,-0.006946379,-0.020461901,-1.034101557,0.027618479,-0.01887025,-0.023666368,-0.06965698,-0.007970959,0.016687167,5
0.005329632,0.003958904,0.000743502,-0.006214967,0.039888876,0.00201763,0.010031216,-0.056917456,-0.039011287,-0.036175922,-1.349170306,-0.04303077,-0.065078762,-0.039348649,-0.427709594,0.011952306,0.019353713,6
0.007998002,-0.008852284,-0.002112573,-0.006732045,0.054333213,-0.00658403,0.009996345,-0.023777958,-0.007140442,-0.020645775,-1.091288361,-0.019823127,-0.025931592,-0.043249708,-0.172823865,-0.022865237,-0.009693862,7
0.007087854,0.000183385,0.019449159,-0.006296108,0.041497712,-0.000574127,0.005467825,-0.068621302,-0.050876467,-0.033352253,-1.355011439,0.035886587,-0.179614133,-0.035020073,-0.445063352,-0.000152686,0.017155801,8
0.006115491,-0.011993106,0.006682936,-0.011439765,0.053975436,-0.005650416,0.007644218,-0.03343971,-0.006446455,-0.015679953,-1.044497399,-0.025547412,0.042163477,-0.040748892,-0.186854449,-0.001233327,0.021582325,9
0.017720993,0.000344139,0.001454358,-0.004120853,0.039330375,-0.000233977,-0.037971239,-0.207718391,-0.119783354,-0.129989033,1.603634698,0.013216589,0.055620434,0.02578166,0.099174106,-0.022406437,-0.016156238,10
0.007365896,0.000241759,-0.000164709,-0.007992755,0.038726153,-0.000507065,-0.031927397,-0.141963705,-0.0912406,-0.084611691,2.081268307,0.022163458,0.048295317,0.071835982,0.097055047,0.019330424,-0.020572293,11
0.007075502,0.000241759,-0.000124,-0.008350529,0.038973218,-0.000408119,-0.034227585,-0.161013908,-0.093941027,-0.093823083,2.010952232,0.019617795,0.070337911,0.055551925,0.097937336,0.021384598,-0.01882593,12
0.006596613,0.000344139,-0.000559597,-0.007270868,0.039265233,-0.000316669,-0.033136094,-0.145786449,-0.089811875,-0.080609924,2.144550703,0.027622944,0.037784017,0.065870648,0.101164587,0.025487624,-0.029152553,13
0.005139566,0.000292341,0.000195819,-0.007912264,0.038802156,-0.000363573,-0.039335603,-0.17818107,-0.106310221,-0.121860821,1.867234985,0.035376981,0.034101428,0.028700229,0.094870347,-0.009321824,-0.029285294,14
0.006016355,0.000783664,-0.010770034,-0.023352296,-0.718743778,-0.001060551,-0.029751717,-0.040359282,-0.0365371,-0.047071232,-0.630779698,-0.003717419,0.032716322,-0.008010552,0.124485207,-0.055513352,-0.050957846,15
0.004022744,-0.000221679,-0.029769016,-0.021525525,-0.689006935,-0.001109076,-0.034892073,-0.075725158,-0.04185402,-0.05431729,-0.897599864,-0.003801894,-0.001704753,-0.013381972,0.124401147,-0.061615173,-0.036865844,16
0.007630457,0.00080772,-0.011696485,-0.022020656,-0.743188667,-0.000906917,-0.034495193,-0.076432202,-0.03989195,-0.04888412,-0.655746941,-0.008661115,0.005370177,-0.038866735,0.114189276,-0.041435879,-0.035244781,17
0.000733278,0.000486659,-0.01024324,-0.016332191,-0.725248336,-0.000895738,-0.031305349,-0.039207372,-0.05523464,-0.074024244,-0.066399311,0.009829353,0.012760629,0.010717245,0.060909466,0.012121291,-0.04857971,18
0.005567382,-0.000347999,-0.035726522,-0.015803636,-0.556314442,-0.000146608,-0.050278454,-0.079415267,-0.046646736,-0.04125963,-1.13728623,-0.024722024,-0.196079941,-0.020525981,0.096298051,-0.01797318,-0.026409197,19
0.001596047,0.000419597,-0.009437838,-0.00493706,0.051869056,-0.000401203,-0.032167578,-0.194280838,-0.116974641,-0.11666003,1.371563041,0.024709251,0.062242594,0.03597533,0.123190818,-0.027721126,-0.016680498,20
0.016925208,0.000913632,-0.01171696,-0.0190574,0.119082873,-0.00264051,-0.012797167,-0.044785129,-0.021852061,-0.011798749,-0.325734683,-0.0357547,0.028365229,-0.037048326,0.2053439,-0.028364948,0.022783774,21
