C,H,O,N,F,S,System_Size,a,b,c,alpha,beta,gamma,density,PLD,LCD,N2_SA,Probe_Accessible,Probe_Occupiable,Rosenbluth_Weight,Sample_Index
-0.049192913,-0.0008111695,-0.019355781,0.15206581,0.091253966,-0.027655803,0.070948,-0.009237996,0.0,0.0,0.0,0.0,0.0,0.17938325,0.0022135712,0.099626645,0.036602315,0.2275341,0.09806098,0.015146705,0
0.01723289,0.003108021,-0.023641491,0.18056071,0.08928214,-0.02020639,0.060187384,-0.14413662,0.0,0.0,0.0,0.0,0.0,-0.1608857,0.07085491,0.041569576,-0.022116486,0.28724176,0.14866894,0.052274838,1
0.07792842,0.0029267727,-0.022377174,0.14855997,0.08923636,-0.025373412,0.08566817,-0.098265864,0.0,0.0,0.0,0.0,0.0,-0.08791149,-0.07823266,0.12922144,-0.012259807,0.092518575,-0.012162047,0.07135801,2
0.07755004,0.0007445105,-0.03155695,0.18156001,0.09311544,-0.026999755,0.07999081,-0.133568,0.0,0.0,0.0,0.0,0.0,-0.20386758,-0.044228833,0.058092434,-0.02161211,0.2754144,0.07802927,0.051046103,3
0.04985427,0.00011163352,-0.022791455,0.18535608,0.08688147,-0.02679641,0.06283067,-0.018136406,0.0,0.0,0.0,0.0,0.0,0.0126058925,0.07460746,0.10747289,0.06920167,0.27551287,-0.020050865,0.050900005,4
-0.10922774,0.009705294,0.09171469,-0.15486635,0.06046218,-0.029467458,-0.069176085,-0.13759767,0.0,0.0,0.0,0.0,0.0,-0.7221291,0.069517836,-0.083991975,-0.0017072703,-0.09861982,0.0024755092,0.09245884,5
-0.047521196,0.0264628,0.049292725,-0.10411003,0.05378193,-0.02653611,-0.059093937,-0.10674871,0.0,0.0,0.0,0.0,0.0,-1.1635375,-0.021516789,-0.07444091,-0.005150346,-0.46032953,0.0052298373,0.07348846,6
-0.12522863,0.0042162044,0.086478636,-0.15342757,0.061813504,-0.030632086,-0.056310542,-0.07006428,0.0,0.0,0.0,0.0,0.0,-0.74996066,-0.15265682,-0.117053755,-0.008084087,-0.27406842,-0.036790688,0.032739803,7
-0.06683957,0.025713801,0.08665276,-0.10509174,0.05074415,-0.02311529,-0.048865043,-0.09479142,0.0,0.0,0.0,0.0,0.0,-1.216549,-0.01572583,-0.28254753,-0.012621251,-0.48229024,0.009724632,0.0846279,8
-0.11073618,0.017894706,0.07997745,-0.13035649,0.06102033,-0.029516082,-0.053198997,-0.04597373,0.0,0.0,0.0,0.0,0.0,-0.7150749,-0.08296732,0.03399357,-0.0064559933,-0.23377928,-0.005366652,0.07038876,9
-0.039265897,-0.0012687834,-0.013420929,-0.14996572,0.055186365,-0.020959748,-0.04448308,-0.37294617,0.0,0.0,0.0,0.0,0.0,1.7843592,-0.027264435,0.111644275,0.04496024,0.131139,0.086849794,0.05996124,10
-0.009548276,-0.00031320791,-0.009890644,-0.093262985,0.047421485,-0.016186992,-0.056226555,-0.22269818,0.0,0.0,0.0,0.0,0.0,2.017111,0.1092941,0.117871806,0.09334584,0.17434807,0.14018825,0.010217683,11
